Date,Customer_Age,Customer_Gender,Country,Product_Category,Unit_Price,Color
2017-02-19,87,F,Germany,Accessories,120,White
2023-02-19,87,F,Germany,Accessories,120,Black
2017-02-19,87,F,Germany,Accessories,120,White
2023-02-19,87,F,Germany,Accessories,120,Black
2020-03-05,86,M,Germany,Accessories,22,Green
2013-03-05,86,M,Germany,Accessories,22,White
2018-03-05,86,M,Germany,Clothing,64,Red
2019-03-05,86,M,Germany,Clothing,64,Green
2019-11-22,85,M,Germany,Accessories,35,Blue
2014-11-22,85,M,Germany,Accessories,35,White
2018-11-22,85,M,Germany,Accessories,25,Black
2015-11-22,85,M,Germany,Accessories,25,Green
2021-11-22,85,M,Germany,Accessories,25,Black
2023-11-22,85,M,Germany,Accessories,25,White
2021-04-19,81,F,Germany,Accessories,35,Red
2014-04-19,81,F,Germany,Accessories,35,Red
2018-07-22,77,F,Germany,Accessories,22,Blue
2022-07-22,77,F,Germany,Accessories,22,Red
2015-07-22,77,F,Germany,Clothing,64,Black
2023-07-22,77,F,Germany,Clothing,64,Blue
2021-08-15,75,F,Germany,Accessories,35,Red
2023-08-15,75,F,Germany,Accessories,35,Blue
2016-05-19,75,M,Germany,Accessories,35,White
2017-05-19,75,M,Germany,Accessories,35,Red
2015-12-03,73,M,Germany,Accessories,22,White
2017-12-03,73,M,Germany,Accessories,22,Black
2014-12-03,73,M,Germany,Accessories,35,Black
2022-12-03,73,M,Germany,Accessories,35,Green
2015-12-03,73,M,Germany,Clothing,50,Red
2020-12-03,73,M,Germany,Clothing,50,Blue
2021-05-07,72,F,Germany,Accessories,35,Red
2014-05-07,72,F,Germany,Accessories,35,Black
2021-05-07,72,F,Germany,Bikes,769,Green
2015-05-07,72,F,Germany,Bikes,769,White
2016-04-03,70,M,Germany,Accessories,55,Black
2014-04-03,70,M,Germany,Accessories,55,Green
2013-04-03,70,M,Germany,Accessories,25,Black
2020-04-03,70,M,Germany,Accessories,25,Black
2022-04-03,70,M,Germany,Accessories,25,Black
2017-04-03,70,M,Germany,Accessories,25,Blue
2020-06-14,70,M,Germany,Accessories,25,Red
2015-06-14,70,M,Germany,Accessories,25,Blue
2017-06-14,70,M,Germany,Accessories,25,Blue
2023-06-14,70,M,Germany,Accessories,25,Red
2013-06-22,70,M,Germany,Accessories,25,Red
2023-06-22,70,M,Germany,Accessories,25,Green
2020-06-22,70,M,Germany,Accessories,25,Black
2015-06-22,70,M,Germany,Accessories,25,Green
2021-06-22,70,M,Germany,Accessories,25,Black
2015-06-22,70,M,Germany,Accessories,25,White
2018-04-16,68,M,Germany,Accessories,159,White
2015-04-16,68,M,Germany,Accessories,159,Black
2022-04-16,68,M,Germany,Accessories,29,Green
2014-04-16,68,M,Germany,Accessories,29,Black
2015-04-16,68,M,Germany,Accessories,29,Green
2018-04-16,68,M,Germany,Accessories,29,Blue
2023-08-07,67,M,Germany,Clothing,50,Green
2017-08-07,67,M,Germany,Clothing,50,White
2014-07-27,64,M,Germany,Accessories,35,Black
2018-07-27,64,M,Germany,Accessories,35,Blue
2018-07-12,64,F,Germany,Accessories,35,White
2017-07-12,64,F,Germany,Accessories,35,Black
2018-02-15,64,F,Germany,Accessories,35,Green
2013-02-15,64,F,Germany,Accessories,35,Blue
2022-01-18,64,F,Germany,Accessories,35,Black
2023-01-18,64,F,Germany,Accessories,35,Blue
2020-01-18,64,F,Germany,Clothing,50,Black
2016-01-18,64,F,Germany,Clothing,50,Green
2020-08-14,64,F,Germany,Accessories,29,Black
2020-08-14,64,F,Germany,Accessories,29,Red
2019-02-13,63,F,Germany,Accessories,159,White
2015-02-13,63,F,Germany,Accessories,159,White
2023-05-24,63,F,Germany,Clothing,24,Blue
2015-05-24,63,F,Germany,Clothing,24,Blue
2015-11-02,63,M,Germany,Accessories,35,White
2014-11-02,63,M,Germany,Accessories,35,Black
2019-02-13,63,F,Germany,Accessories,159,White
2015-02-13,63,F,Germany,Accessories,159,White
2020-08-10,62,F,Germany,Accessories,35,Red
2020-08-10,62,F,Germany,Accessories,35,Red
2022-06-21,62,F,Germany,Accessories,35,Black
2018-06-21,62,F,Germany,Accessories,35,Black
2018-08-10,62,F,Germany,Clothing,50,White
2013-08-10,62,F,Germany,Clothing,50,Black
2017-06-27,61,F,Germany,Accessories,35,Red
2013-06-27,61,F,Germany,Accessories,35,Red
2014-06-22,60,F,Germany,Accessories,22,Black
2018-06-22,60,F,Germany,Accessories,22,Red
2020-06-22,60,F,Germany,Clothing,54,Green
2014-06-22,60,F,Germany,Clothing,54,Red
2022-09-19,59,M,Germany,Accessories,120,Black
2018-09-19,59,M,Germany,Accessories,120,Red
2018-09-19,59,M,Germany,Accessories,22,Blue
2015-09-19,59,M,Germany,Accessories,22,White
2020-07-07,59,M,Germany,Clothing,24,Red
2013-07-07,59,M,Germany,Clothing,24,Blue
2022-07-07,59,M,Germany,Accessories,35,Blue
2020-07-07,59,M,Germany,Accessories,35,Red
2023-07-07,59,M,Germany,Clothing,50,Black
2018-07-07,59,M,Germany,Clothing,50,Black
2023-02-02,59,M,Germany,Bikes,1701,Red
2019-02-02,59,M,Germany,Bikes,1701,Red
2021-07-07,59,M,Germany,Bikes,1701,Black
2017-07-07,59,M,Germany,Bikes,1701,Green
2014-12-27,59,F,Germany,Bikes,2384,Black
2015-12-27,59,F,Germany,Bikes,2384,Black
2022-09-19,59,M,Germany,Accessories,120,Black
2018-09-19,59,M,Germany,Accessories,120,Red
2014-01-20,57,F,Germany,Accessories,35,White
2017-01-20,57,F,Germany,Accessories,35,Red
2020-03-27,57,M,Germany,Clothing,54,Green
2017-03-27,57,M,Germany,Clothing,54,Blue
2019-03-27,57,M,Germany,Bikes,565,Blue
2016-03-27,57,M,Germany,Bikes,565,Red
2016-07-23,57,M,Germany,Bikes,2443,White
2013-07-23,57,M,Germany,Bikes,2443,White
2013-05-26,57,F,Germany,Bikes,1701,White
2019-05-26,57,F,Germany,Bikes,1701,Black
2022-01-20,57,F,Germany,Bikes,1701,Black
2016-01-20,57,F,Germany,Bikes,1701,White
2015-05-15,57,F,Germany,Bikes,1120,Green
2023-05-15,57,F,Germany,Bikes,1120,Blue
2022-05-15,57,F,Germany,Clothing,64,Green
2021-05-15,57,F,Germany,Clothing,64,White
2016-06-16,56,M,Germany,Accessories,120,Blue
2016-06-16,56,M,Germany,Accessories,120,Black
2017-05-16,56,M,Germany,Clothing,24,Red
2013-05-16,56,M,Germany,Clothing,24,White
2014-12-04,56,F,Germany,Accessories,35,Black
2022-12-04,56,F,Germany,Accessories,35,Red
2015-01-14,56,F,Germany,Accessories,35,Green
2019-01-14,56,F,Germany,Accessories,35,White
2021-05-13,56,F,Germany,Accessories,35,Red
2021-05-13,56,F,Germany,Accessories,35,Green
2015-01-10,56,F,Germany,Accessories,35,Red
2021-01-10,56,F,Germany,Accessories,35,Black
2014-03-20,56,F,Germany,Accessories,35,Red
2018-03-20,56,F,Germany,Accessories,35,White
2022-06-06,56,F,Germany,Accessories,35,Blue
2014-06-06,56,F,Germany,Accessories,35,Green
2013-05-07,56,F,Germany,Accessories,35,Green
2022-05-07,56,F,Germany,Accessories,35,Blue
2016-05-16,56,M,Germany,Clothing,50,White
2015-05-16,56,M,Germany,Clothing,50,Black
2018-12-19,56,F,Germany,Bikes,2295,Blue
2021-12-19,56,F,Germany,Bikes,2295,Blue
2014-12-04,56,F,Germany,Bikes,2295,Blue
2022-12-04,56,F,Germany,Bikes,2295,Blue
2016-03-20,56,F,Germany,Bikes,565,Blue
2018-03-20,56,F,Germany,Bikes,565,White
2019-06-06,56,F,Germany,Bikes,2295,Blue
2013-06-06,56,F,Germany,Bikes,2295,Black
2023-07-03,56,F,Germany,Bikes,2443,Black
2016-07-03,56,F,Germany,Bikes,2443,Blue
2013-05-28,56,F,Germany,Bikes,540,Blue
2018-05-28,56,F,Germany,Bikes,540,Blue
2013-05-07,56,F,Germany,Bikes,540,White
2020-05-07,56,F,Germany,Bikes,540,Blue
2018-05-14,56,M,Germany,Bikes,1120,Black
2019-05-14,56,M,Germany,Bikes,1120,Red
2020-05-16,56,M,Germany,Bikes,783,White
2018-05-16,56,M,Germany,Bikes,783,Red
2016-05-13,56,F,Germany,Bikes,540,Red
2018-05-13,56,F,Germany,Bikes,540,White
2021-06-08,56,F,Germany,Bikes,540,Green
2015-06-08,56,F,Germany,Bikes,540,White
2016-06-16,56,M,Germany,Accessories,120,Blue
2016-06-16,56,M,Germany,Accessories,120,Black
2023-12-31,55,F,Germany,Accessories,22,Black
2017-12-31,55,F,Germany,Accessories,22,Blue
2018-06-05,55,F,Germany,Accessories,35,White
2014-06-05,55,F,Germany,Accessories,35,Black
2016-06-29,55,F,Germany,Accessories,35,Black
2015-06-29,55,F,Germany,Accessories,35,Red
2019-09-30,55,F,Germany,Accessories,35,Green
2020-09-30,55,F,Germany,Accessories,35,Red
2023-10-14,55,M,Germany,Accessories,35,Green
2014-10-14,55,M,Germany,Accessories,35,Black
2021-01-21,55,F,Germany,Clothing,54,Black
2016-01-21,55,F,Germany,Clothing,54,Red
2020-06-05,55,F,Germany,Bikes,2295,White
2016-06-05,55,F,Germany,Bikes,2295,Black
2020-06-29,55,F,Germany,Bikes,2320,Red
2016-06-29,55,F,Germany,Bikes,2320,Black
2013-04-26,55,F,Germany,Bikes,565,Black
2020-04-26,55,F,Germany,Bikes,565,White
2021-03-19,55,M,Germany,Bikes,2443,White
2020-03-19,55,M,Germany,Bikes,2443,Blue
2023-09-13,55,M,Germany,Bikes,2443,Blue
2017-09-13,55,M,Germany,Bikes,2443,White
2016-07-01,55,F,Germany,Bikes,1701,White
2022-07-01,55,F,Germany,Bikes,1701,Green
2021-05-30,55,F,Germany,Bikes,1701,Green
2015-05-30,55,F,Germany,Bikes,1701,Blue
2019-01-06,55,F,Germany,Bikes,1701,Black
2017-01-06,55,F,Germany,Bikes,1701,Green
2019-07-30,55,F,Germany,Bikes,1701,Black
2023-07-30,55,F,Germany,Bikes,1701,Red
2017-04-25,55,F,Germany,Bikes,1120,White
2021-04-25,55,F,Germany,Bikes,1120,Blue
2023-06-05,55,F,Germany,Accessories,29,White
2022-06-05,55,F,Germany,Accessories,29,Black
2014-06-05,55,F,Germany,Accessories,29,Black
2023-06-05,55,F,Germany,Accessories,29,Green
2019-02-16,55,F,Germany,Accessories,25,White
2020-02-16,55,F,Germany,Accessories,25,White
2022-05-04,55,M,Germany,Accessories,30,Black
2017-05-04,55,M,Germany,Accessories,30,Green
2013-05-04,55,M,Germany,Accessories,30,Green
2017-05-04,55,M,Germany,Accessories,30,White
2019-05-04,55,M,Germany,Accessories,30,Blue
2023-05-04,55,M,Germany,Accessories,30,Red
2015-03-29,55,M,Germany,Accessories,29,Red
2016-03-29,55,M,Germany,Accessories,29,Black
2017-03-29,55,M,Germany,Accessories,29,Black
2021-03-29,55,M,Germany,Accessories,29,Green
2019-09-30,55,F,Germany,Bikes,1215,Red
2016-09-30,55,F,Germany,Bikes,1215,Blue
2016-10-14,55,M,Germany,Bikes,742,Blue
2022-10-14,55,M,Germany,Bikes,742,White
2018-08-10,55,M,Germany,Clothing,64,Blue
2023-08-10,55,M,Germany,Clothing,64,Green
2016-12-05,54,M,Germany,Accessories,22,Green
2023-12-05,54,M,Germany,Accessories,22,Red
2014-02-28,54,F,Germany,Clothing,24,Green
2021-02-28,54,F,Germany,Clothing,24,Green
2022-12-05,54,M,Germany,Clothing,24,Black
2020-12-05,54,M,Germany,Clothing,24,Blue
2022-10-17,54,M,Germany,Accessories,35,Blue
2021-10-17,54,M,Germany,Accessories,35,Black
2023-04-17,54,F,Germany,Accessories,35,Red
2015-04-17,54,F,Germany,Accessories,35,Green
2022-01-26,54,M,Germany,Accessories,35,Red
2022-01-26,54,M,Germany,Accessories,35,Black
2020-03-20,54,M,Germany,Accessories,35,Green
2021-03-20,54,M,Germany,Accessories,35,Blue
2020-01-31,54,M,Germany,Accessories,35,White
2016-01-31,54,M,Germany,Accessories,35,Black
2020-06-19,54,M,Germany,Accessories,35,Black
2017-06-19,54,M,Germany,Accessories,35,Red
2014-08-17,54,F,Germany,Accessories,35,Blue
2021-08-17,54,F,Germany,Accessories,35,Green
2023-07-12,54,M,Germany,Accessories,35,Red
2021-07-12,54,M,Germany,Accessories,35,Green
2021-10-03,54,M,Germany,Accessories,35,Black
2019-10-03,54,M,Germany,Accessories,35,Blue
2021-12-05,54,M,Germany,Clothing,50,Blue
2018-12-05,54,M,Germany,Clothing,50,Blue
2015-07-11,54,F,Germany,Clothing,54,White
2015-07-11,54,F,Germany,Clothing,54,Black
2016-10-12,54,F,Germany,Clothing,54,Red
2016-10-12,54,F,Germany,Clothing,54,Black
2013-12-31,54,F,Germany,Clothing,54,Blue
2023-12-31,54,F,Germany,Clothing,54,Black
2016-12-05,54,M,Germany,Bikes,769,White
2022-12-05,54,M,Germany,Bikes,769,Red
2015-12-31,54,F,Germany,Bikes,2320,White
2013-12-31,54,F,Germany,Bikes,2320,Black
2016-04-17,54,F,Germany,Bikes,2320,Green
2013-04-17,54,F,Germany,Bikes,2320,Red
2022-07-12,54,M,Germany,Bikes,3578,White
2019-07-12,54,M,Germany,Bikes,3578,Green
2023-05-11,54,M,Germany,Bikes,1120,Red
2014-05-11,54,M,Germany,Bikes,1120,Blue
2013-05-27,54,M,Germany,Bikes,1120,Black
2013-05-27,54,M,Germany,Bikes,1120,Green
2016-01-26,54,M,Germany,Bikes,1120,Blue
2013-01-26,54,M,Germany,Bikes,1120,Red
2013-02-09,54,M,Germany,Bikes,1120,White
2020-02-09,54,M,Germany,Bikes,1120,Black
2014-04-05,54,F,Germany,Bikes,540,Red
2018-04-05,54,F,Germany,Bikes,540,Green
2020-05-22,54,F,Germany,Bikes,1120,Black
2016-05-22,54,F,Germany,Bikes,1120,Black
2015-08-13,54,F,Germany,Bikes,540,White
2017-08-13,54,F,Germany,Bikes,540,Blue
2019-08-15,54,F,Germany,Bikes,540,White
2017-08-15,54,F,Germany,Bikes,540,Green
2019-07-11,54,F,Germany,Bikes,540,White
2019-07-11,54,F,Germany,Bikes,540,Green
2020-10-12,54,F,Germany,Bikes,540,White
2013-10-12,54,F,Germany,Bikes,540,Black
2021-09-30,54,F,Germany,Bikes,540,Red
2016-09-30,54,F,Germany,Bikes,540,Green
2023-10-18,54,F,Germany,Bikes,540,Blue
2017-10-18,54,F,Germany,Bikes,540,Green
2018-04-03,54,F,Germany,Bikes,540,Black
2016-04-03,54,F,Germany,Bikes,540,Black
2021-06-19,54,M,Germany,Bikes,540,Blue
2018-06-19,54,M,Germany,Bikes,540,White
2018-09-08,54,M,Germany,Accessories,25,Black
2023-09-08,54,M,Germany,Accessories,25,Black
2014-09-08,54,M,Germany,Accessories,25,Blue
2023-09-08,54,M,Germany,Accessories,25,Green
2013-10-17,54,M,Germany,Accessories,25,Green
2019-10-17,54,M,Germany,Accessories,25,White
2023-10-17,54,M,Germany,Accessories,25,Black
2023-10-17,54,M,Germany,Accessories,25,Red
2020-08-25,54,M,Germany,Accessories,30,Black
2014-08-25,54,M,Germany,Accessories,30,Green
2015-03-20,54,M,Germany,Accessories,21,Blue
2014-03-20,54,M,Germany,Accessories,21,Red
2023-08-17,54,F,Germany,Accessories,21,Black
2019-08-17,54,F,Germany,Accessories,21,White
2018-08-17,54,F,Germany,Accessories,21,Black
2014-08-17,54,F,Germany,Accessories,21,Red
2021-10-03,54,M,Germany,Bikes,2384,Green
2021-10-03,54,M,Germany,Bikes,2384,Red
2019-01-31,54,M,Germany,Bikes,742,White
2022-01-31,54,M,Germany,Bikes,742,Red
2015-01-08,54,F,Germany,Bikes,742,Black
2014-01-08,54,F,Germany,Bikes,742,Blue
2018-06-27,53,F,Germany,Accessories,22,Green
2021-06-27,53,F,Germany,Accessories,22,Red
2013-08-14,53,M,Germany,Accessories,22,Black
2019-08-14,53,M,Germany,Accessories,22,Blue
2017-04-25,53,M,Germany,Accessories,22,Red
2017-04-25,53,M,Germany,Accessories,22,Black
2017-01-23,53,F,Germany,Accessories,22,White
2014-01-23,53,F,Germany,Accessories,22,White
2018-06-11,53,F,Germany,Accessories,22,Green
2020-06-11,53,F,Germany,Accessories,22,Blue
2014-02-22,53,F,Germany,Accessories,22,Blue
